Start Time, Nov. 21, 2018 at 02:36:43 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 85293.55
Real Time (s), 85585.65
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
435, 217.5, 3017
436, 218, 3138
437, 218.5, 3157
438, 219, 2925
439, 219.5, 3012
440, 220, 3049
441, 220.5, 2996
442, 221, 2904
443, 221.5, 3250
444, 222, 5586
445, 222.5, 4435
446, 223, 3054
447, 223.5, 2948
448, 224, 2949
449, 224.5, 2799
450, 225, 2832
451, 225.5, 2693
452, 226, 2775
453, 226.5, 2714
454, 227, 2764
455, 227.5, 2793
456, 228, 2794
457, 228.5, 2809
458, 229, 2692
459, 229.5, 2740
460, 230, 2845
461, 230.5, 4945
462, 231, 11413
463, 231.5, 6813
464, 232, 2797
465, 232.5, 2523
466, 233, 2521
467, 233.5, 2432
468, 234, 2623
469, 234.5, 2501
470, 235, 2486
471, 235.5, 2499
472, 236, 2466
473, 236.5, 2433
474, 237, 2544
475, 237.5, 2529
476, 238, 2485
477, 238.5, 2410
478, 239, 2437
479, 239.5, 2467
480, 240, 2435
481, 240.5, 2364
482, 241, 2405
483, 241.5, 2343
484, 242, 2317
485, 242.5, 2352
486, 243, 2252
487, 243.5, 2328
488, 244, 2319
489, 244.5, 2334
490, 245, 2311
491, 245.5, 2290
492, 246, 2265
493, 246.5, 2222
494, 247, 2200
495, 247.5, 2275
496, 248, 2255
497, 248.5, 2211
498, 249, 2256
499, 249.5, 2269
500, 250, 2282
501, 250.5, 2226
502, 251, 2297
503, 251.5, 2169
504, 252, 2171
505, 252.5, 2195
506, 253, 2189
507, 253.5, 2316
508, 254, 2234
509, 254.5, 2152
510, 255, 2352
511, 255.5, 2300
512, 256, 2154
513, 256.5, 2311
514, 257, 2185
515, 257.5, 2129
516, 258, 2117
517, 258.5, 2106
518, 259, 2221
519, 259.5, 2169
520, 260, 2170
521, 260.5, 2130
522, 261, 2171
523, 261.5, 2124
524, 262, 2161
525, 262.5, 2190
526, 263, 2058
527, 263.5, 2157
528, 264, 2196
529, 264.5, 2083
530, 265, 2045
531, 265.5, 2091
532, 266, 2103
533, 266.5, 2148
534, 267, 2056
535, 267.5, 1996
536, 268, 1967
537, 268.5, 2308
538, 269, 2478
539, 269.5, 2092
540, 270, 1983
541, 270.5, 1971
542, 271, 2007
543, 271.5, 1996
544, 272, 2000
545, 272.5, 1914
546, 273, 1956
547, 273.5, 1913
548, 274, 1992
549, 274.5, 1871
550, 275, 1980
551, 275.5, 1984
552, 276, 1968
553, 276.5, 1878
554, 277, 1947
555, 277.5, 1929
556, 278, 1952
557, 278.5, 1893
558, 279, 1814
559, 279.5, 1890
560, 280, 1930
561, 280.5, 1862
562, 281, 1838
563, 281.5, 1819
