Start Time, Nov. 19, 2018 at 04:22:47 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 165281.41
Real Time (s), 165856.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
444, 222, 11291
445, 222.5, 9108
446, 223, 5954
447, 223.5, 5813
448, 224, 5907
449, 224.5, 5680
450, 225, 5612
451, 225.5, 5553
452, 226, 5525
453, 226.5, 5727
454, 227, 5461
455, 227.5, 5510
456, 228, 5373
457, 228.5, 5291
458, 229, 5423
459, 229.5, 5541
460, 230, 5630
461, 230.5, 9979
462, 231, 23308
463, 231.5, 13723
464, 232, 5524
465, 232.5, 5003
466, 233, 4999
467, 233.5, 4971
468, 234, 5023
469, 234.5, 5139
470, 235, 4937
471, 235.5, 4935
472, 236, 4881
473, 236.5, 4880
474, 237, 4825
475, 237.5, 4717
476, 238, 4797
477, 238.5, 4943
478, 239, 4705
479, 239.5, 4670
480, 240, 4630
481, 240.5, 4732
482, 241, 4575
483, 241.5, 4684
484, 242, 4649
485, 242.5, 4661
486, 243, 4655
487, 243.5, 4508
488, 244, 4603
489, 244.5, 4621
490, 245, 4520
491, 245.5, 4618
492, 246, 4493
493, 246.5, 4660
494, 247, 4578
495, 247.5, 4570
496, 248, 4544
497, 248.5, 4424
498, 249, 4426
499, 249.5, 4481
500, 250, 4479
501, 250.5, 4494
502, 251, 4479
503, 251.5, 4399
504, 252, 4311
505, 252.5, 4457
506, 253, 4479
507, 253.5, 4470
508, 254, 4472
509, 254.5, 4439
510, 255, 4498
511, 255.5, 4469
512, 256, 4301
513, 256.5, 4267
514, 257, 4291
515, 257.5, 4290
516, 258, 4273
517, 258.5, 4185
518, 259, 4216
519, 259.5, 4347
520, 260, 4177
521, 260.5, 4208
522, 261, 4275
523, 261.5, 4173
524, 262, 4111
525, 262.5, 4162
526, 263, 4233
527, 263.5, 4268
528, 264, 4298
529, 264.5, 4149
530, 265, 4181
531, 265.5, 4191
532, 266, 4181
533, 266.5, 4165
534, 267, 4013
535, 267.5, 3988
536, 268, 4125
537, 268.5, 4553
538, 269, 5035
539, 269.5, 4233
540, 270, 4006
541, 270.5, 3981
542, 271, 3898
543, 271.5, 3880
544, 272, 3821
545, 272.5, 3886
546, 273, 3965
547, 273.5, 3940
548, 274, 3822
549, 274.5, 3760
550, 275, 3754
551, 275.5, 3740
552, 276, 3901
553, 276.5, 3902
554, 277, 3845
555, 277.5, 3741
556, 278, 3717
557, 278.5, 3731
558, 279, 3780
559, 279.5, 3828
560, 280, 3781
561, 280.5, 3735
562, 281, 3651
563, 281.5, 3641
564, 282, 3674
565, 282.5, 3624
566, 283, 3756
567, 283.5, 3564
568, 284, 3562
569, 284.5, 3395
570, 285, 3495
571, 285.5, 3463
572, 286, 3510
573, 286.5, 3543
574, 287, 3514
575, 287.5, 3639
576, 288, 3849
577, 288.5, 3763
578, 289, 3574
579, 289.5, 3541
580, 290, 3444
581, 290.5, 3468
582, 291, 3420
583, 291.5, 3397
584, 292, 3351
585, 292.5, 3448
586, 293, 3351
587, 293.5, 3340
588, 294, 3331
589, 294.5, 3426
590, 295, 3400
591, 295.5, 3311
592, 296, 3360
593, 296.5, 3338
594, 297, 3462
595, 297.5, 3488
596, 298, 3375
597, 298.5, 3483
598, 299, 3294
599, 299.5, 3304
600, 300, 3238
601, 300.5, 3293
602, 301, 3321
603, 301.5, 3272
604, 302, 3359
605, 302.5, 3289
606, 303, 3307
607, 303.5, 3942
608, 304, 5375
609, 304.5, 4065
610, 305, 3158
611, 305.5, 3136
612, 306, 3153
613, 306.5, 3059
614, 307, 3125
615, 307.5, 3098
616, 308, 3214
617, 308.5, 3124
618, 309, 3176
619, 309.5, 3075
620, 310, 3091
621, 310.5, 3098
622, 311, 3135
623, 311.5, 3080
624, 312, 3128
625, 312.5, 3068
626, 313, 3079
627, 313.5, 3099
628, 314, 3139
629, 314.5, 3086
630, 315, 3086
631, 315.5, 3223
632, 316, 3006
633, 316.5, 2985
634, 317, 2948
635, 317.5, 2922
636, 318, 2889
637, 318.5, 2962
638, 319, 3038
639, 319.5, 3029
640, 320, 3046
641, 320.5, 2998
642, 321, 2886
643, 321.5, 2934
644, 322, 2925
645, 322.5, 2844
646, 323, 2913
647, 323.5, 2913
648, 324, 2894
649, 324.5, 2816
650, 325, 2871
651, 325.5, 2824
652, 326, 2909
653, 326.5, 2819
654, 327, 2907
655, 327.5, 2795
656, 328, 2808
657, 328.5, 2939
658, 329, 2780
659, 329.5, 2815
660, 330, 2847
661, 330.5, 2938
662, 331, 2839
663, 331.5, 2743
664, 332, 2729
665, 332.5, 2777
666, 333, 2780
667, 333.5, 3109
668, 334, 3735
669, 334.5, 5443
670, 335, 9707
671, 335.5, 11313
672, 336, 7567
673, 336.5, 4891
674, 337, 3420
675, 337.5, 2860
676, 338, 2718
677, 338.5, 2657
678, 339, 2672
679, 339.5, 2680
680, 340, 2802
681, 340.5, 2548
682, 341, 2639
683, 341.5, 2635
684, 342, 2585
685, 342.5, 2656
686, 343, 2617
687, 343.5, 2568
688, 344, 2556
689, 344.5, 2584
690, 345, 2520
691, 345.5, 2654
692, 346, 2540
693, 346.5, 2627
694, 347, 2533
695, 347.5, 2500
696, 348, 2596
697, 348.5, 2507
698, 349, 2561
699, 349.5, 2522
700, 350, 2499
701, 350.5, 2516
702, 351, 2517
703, 351.5, 2583
704, 352, 2457
705, 352.5, 2466
706, 353, 2488
707, 353.5, 2455
708, 354, 2466
709, 354.5, 2527
710, 355, 2404
711, 355.5, 2411
712, 356, 2408
713, 356.5, 2467
714, 357, 2463
715, 357.5, 2340
716, 358, 2289
717, 358.5, 2455
718, 359, 2505
719, 359.5, 2572
720, 360, 2451
721, 360.5, 2455
722, 361, 2441
723, 361.5, 2431
724, 362, 2407
725, 362.5, 2305
726, 363, 2386
727, 363.5, 2388
728, 364, 2425
729, 364.5, 2396
730, 365, 2477
731, 365.5, 2324
732, 366, 2403
733, 366.5, 2356
734, 367, 2374
735, 367.5, 2302
736, 368, 2394
737, 368.5, 2462
738, 369, 2673
739, 369.5, 2661
740, 370, 2452
741, 370.5, 2328
742, 371, 2447
743, 371.5, 2321
744, 372, 2358
745, 372.5, 2392
746, 373, 2320
747, 373.5, 2339
748, 374, 2379
749, 374.5, 2420
750, 375, 2288
